Country,Year,Total emissions
World,1751,9.350528
World,1752,9.354192
World,1753,9.354192
World,1754,9.357856
World,1755,9.36152
World,1756,10.006384
World,1757,10.010048
World,1758,10.013712
World,1759,10.017376
World,1760,10.017376
World,1761,10.97368
World,1762,10.977344
World,1763,10.981008
World,1764,10.984672
World,1765,10.988336
World,1766,12.259744
World,1767,12.263408
World,1768,12.267072
World,1769,12.270736
World,1770,12.2744
World,1771,13.61176
World,1772,13.615424
World,1773,13.619088
World,1774,13.622752
World,1775,13.626416
World,1776,15.037056
World,1777,15.04072
World,1778,15.044384
World,1779,15.048048
World,1780,15.055376
World,1781,16.843408
World,1782,16.847072
World,1783,16.8544
World,1784,16.858064
World,1785,16.869056
World,1786,19.151728
World,1787,19.159056
World,1788,19.16272
World,1789,19.170048
World,1790,19.177376
World,1791,21.419744
World,1792,21.896064
World,1793,21.914384
World,1794,21.881408
World,1795,21.8924
World,1796,22.951296
World,1797,24.094464
World,1798,25.094736
World,1799,26.428432
World,1800,28.091888
World,1801,27.959984
World,1802,36.782896
World,1803,31.488416
World,1804,34.309696
World,1805,33.419344
World,1806,35.04616
World,1807,36.874496
World,1808,35.06448
World,1809,35.090128
World,1810,37.380128
World,1811,39.582192
World,1812,41.007488
World,1813,41.22
World,1814,42.128672
World,1815,43.488016
World,1816,47.664976
World,1817,49.431024
World,1818,49.643536
World,1819,49.947648
World,1820,50.687776
World,1821,51.435232
World,1822,53.465088
World,1823,56.550176
World,1824,58.525072
World,1825,60.756448
World,1826,61.419632
World,1827,65.91536
World,1828,66.637168
World,1829,66.395344
World,1830,89.123136
World,1831,84.52848
World,1832,85.111056
World,1833,86.807488
World,1834,88.4856
World,1835,90.44584
World,1836,104.775744
World,1837,104.691472
World,1838,108.044032
World,1839,111.612768
World,1840,118.929776
World,1841,122.619424
World,1842,129.50408
World,1843,132.852976
World,1844,141.423072
World,1845,155.210704
World,1846,157.793824
World,1847,172.402192
World,1848,173.816496
World,1849,183.51144
World,1850,196.896032
World,1851,198.742688
World,1852,207.495984
World,1853,217.099328
World,1854,255.010736
World,1855,260.03408
World,1856,277.10832
World,1857,279.680448
World,1858,283.967328
World,1859,301.001264
World,1860,330.708976
World,1861,347.78688
World,1862,354.114608
World,1863,377.92328
World,1864,407.151008
World,1865,432.366656
World,1866,446.03704
World,1867,477.814912
World,1868,490.752496
World,1869,521.13072
World,1870,532.536752
World,1871,566.14296
World,1872,626.371792
World,1873,665.41904
World,1874,622.997248
World,1875,675.799152
World,1876,685.55272
World,1877,699.098528
World,1878,704.565216
World,1879,755.036816
World,1880,853.891536
World,1881,882.587984
World,1882,932.128928
World,1883,991.273216
World,1884,1002.430096
World,1885,1009.90832
World,1886,1025.729472
World,1887,1077.043792
World,1888,1192.584368
World,1889,1192.15568
World,1890,1298.855024
World,1891,1359.300032
World,1892,1370.541184
World,1893,1354.137456
World,1894,1401.373744
World,1895,1485.920544
World,1896,1534.406256
World,1897,1607.045056
World,1898,1695.109296
World,1899,1851.825904
World,1900,1953.307712
World,1901,2017.969984
World,1902,2069.09744
World,1903,2257.269488
World,1904,2281.22472
World,1905,2428.667744
World,1906,2550.865808
World,1907,2884.659872
World,1908,2775.703504
World,1909,2885.293744
World,1910,3026.016992
World,1911,3081.237136
World,1912,3226.71992
World,1913,3491.363312
World,1914,3168.0776
World,1915,3125.157504
World,1916,3372.323616
World,1917,3528.37704
World,1918,3480.686416
World,1919,3016.640816
World,1920,3507.613152
World,1921,3077.712368
World,1922,3227.26952
World,1923,3661.713664
World,1924,3673.299232
World,1925,3699.225696
World,1926,3641.9244
World,1927,3977.378256
World,1928,3991.12192
World,1929,4290.749184
World,1930,3965.451936
World,1931,3542.86816
World,1932,3196.286736
World,1933,3365.596512
World,1934,3661.548784
World,1935,3846.511168
World,1936,4223.676
World,1937,4522.870912
World,1938,4264.888672
World,1939,4503.12928
World,1940,4904.00752
World,1941,5024.655712
World,1942,5039.974896
World,1943,5216.282912
World,1944,5181.123168
World,1945,4333.39448
World,1946,4730.660016
World,1947,5236.563152
World,1948,5505.427472
World,1949,5244.854784
World,1950,5786.141168
World,1951,6226.396416
World,1952,6310.375296
World,1953,6486.280272
World,1954,6629.1836
World,1955,7258.204464
World,1956,7725.118976
World,1957,7964.755568
World,1958,8215.483088
World,1959,8989.176487
World,1960,9410.529753
World,1961,9452.107735
World,1962,9838.202053
World,1963,10379.06796
World,1964,10969.32514
World,1965,11466.15022
World,1966,12045.55587
World,1967,12431.00938
World,1968,13063.44964
World,1969,13846.42734
World,1970,14845.81498
World,1971,15409.71755
World,1972,16023.99077
World,1973,16893.36143
World,1974,16923.57871
World,1975,16825.64095
World,1976,17800.97242
World,1977,18355.43923
World,1978,18561.69885
World,1979,19594.22881
World,1980,19388.09437
World,1981,18787.12262
World,1982,18624.07569
World,1983,18549.44804
World,1984,19216.86605
World,1985,19792.62184
World,1986,20395.94953
World,1987,20912.41349
World,1988,21681.10932
World,1989,22154.33573
World,1990,22181.80737
World,1991,22429.37743
World,1992,22195.10513
World,1993,22153.14311
World,1994,22533.83297
World,1995,23007.42538
World,1996,23522.97911
World,1997,23915.3294
World,1998,23984.9839
World,1999,23930.56147
World,2000,24558.69108
World,2001,25137.99969
World,2002,25494.19056
World,2003,26866.73838
World,2004,28187.59894
World,2005,29254.90635
World,2006,30286.83639
World,2007,30880.1453
World,2008,31875.7558
World,2009,31523.14297
World,2010,33066.65121
World,2011,34357.36592
World,2012,34919.28871
World,2013,35207.88598
World,2014,35505.82704
World,2015,35462.74674
World,2016,35675.09944
World,2017,36153.26165
World,2018,36572.75422
