Country,CountryStandardised
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
"Bonaire, Saint Eustatius and Saba",Bonaire Sint Eustatius and Saba
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Canada,Canada
Cape Verde,Cape Verde
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Côte d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Curaçao,Curacao
Cyprus,Cyprus
Czech Republic,Czech Republic
North Korea,North Korea
Democratic Republic of the Congo,Democratic Republic of Congo
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Ethiopia,Ethiopia
Faeroe Islands,Faeroe Islands
Micronesia (Federated States of),Micronesia
Fiji,Fiji
Finland,Finland
France,France
French Polynesia,French Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
Iraq,Iraq
Ireland,Ireland
Iran,Iran
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithuania
Luxembourg,Luxembourg
Macao,Macao
Macedonia (Republic of),Macedonia
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norway,Norway
Occupied Palestinian Territory,Palestine
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Bolivia,Bolivia
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Cameroon,Cameroon
South Korea,South Korea
Moldova,Moldova
South Sudan,South Sudan
Sudan,Sudan
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
Saint Helena,Saint Helena
Saint Lucia,Saint Lucia
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
Spain,Spain
Sri Lanka,Sri Lanka
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Suriname,Suriname
Swaziland,Swaziland
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Thailand,Thailand
Timor-Leste,Timor
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Tanzania,Tanzania
USA,United States
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Viet Nam,Vietnam
Wallis and Futuna Islands,Wallis and Futuna Islands
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
KP Annex B,KP Annex B
Non KP Annex B,Non KP Annex B
OECD,OECD
Non-OECD,Non-OECD
EU28,
Africa,
Asia,
Central America,
Europe,
Middle East,
North America,
Oceania,
South America,
Bunkers,International transport
Statistical Difference,Statistical Difference
World,
