Country,Year,Total emissions,Coal,Oil,Gas,Cement,Flaring
World,1751,10.992,10.992,0.0,0.0,0.0,0.0
World,1752,10.992,10.992,0.0,0.0,0.0,0.0
World,1753,10.992,10.992,0.0,0.0,0.0,0.0
World,1754,10.992,10.992,0.0,0.0,0.0,0.0
World,1755,10.992,10.992,0.0,0.0,0.0,0.0
World,1756,10.992,10.992,0.0,0.0,0.0,0.0
World,1757,10.992,10.992,0.0,0.0,0.0,0.0
World,1758,10.992,10.992,0.0,0.0,0.0,0.0
World,1759,10.992,10.992,0.0,0.0,0.0,0.0
World,1760,10.992,10.992,0.0,0.0,0.0,0.0
World,1761,10.992,10.992,0.0,0.0,0.0,0.0
World,1762,10.992,10.992,0.0,0.0,0.0,0.0
World,1763,10.992,10.992,0.0,0.0,0.0,0.0
World,1764,10.992,10.992,0.0,0.0,0.0,0.0
World,1765,10.992,10.992,0.0,0.0,0.0,0.0
World,1766,10.992,10.992,0.0,0.0,0.0,0.0
World,1767,10.992,10.992,0.0,0.0,0.0,0.0
World,1768,10.992,10.992,0.0,0.0,0.0,0.0
World,1769,10.992,10.992,0.0,0.0,0.0,0.0
World,1770,10.992,10.992,0.0,0.0,0.0,0.0
World,1771,14.656,14.656,0.0,0.0,0.0,0.0
World,1772,14.656,14.656,0.0,0.0,0.0,0.0
World,1773,14.656,14.656,0.0,0.0,0.0,0.0
World,1774,14.656,14.656,0.0,0.0,0.0,0.0
World,1775,14.656,14.656,0.0,0.0,0.0,0.0
World,1776,14.656,14.656,0.0,0.0,0.0,0.0
World,1777,14.656,14.656,0.0,0.0,0.0,0.0
World,1778,14.656,14.656,0.0,0.0,0.0,0.0
World,1779,14.656,14.656,0.0,0.0,0.0,0.0
World,1780,14.656,14.656,0.0,0.0,0.0,0.0
World,1781,18.32,18.32,0.0,0.0,0.0,0.0
World,1782,18.32,18.32,0.0,0.0,0.0,0.0
World,1783,18.32,18.32,0.0,0.0,0.0,0.0
World,1784,18.32,18.32,0.0,0.0,0.0,0.0
World,1785,18.32,18.32,0.0,0.0,0.0,0.0
World,1786,18.32,18.32,0.0,0.0,0.0,0.0
World,1787,18.32,18.32,0.0,0.0,0.0,0.0
World,1788,18.32,18.32,0.0,0.0,0.0,0.0
